,eta,metric,corr,pval,method,td,syntax
0,prop,AMR,-0.047077723572169335,0.7506801323194953,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
1,prop,MRR,0.15199379324728957,0.3024034397009432,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
2,prop,H@1,0.1486512709488425,0.313284092155899,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
3,prop,H@3,0.17353387713832127,0.23817473454976446,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
4,prop,H@5,0.1978016058710624,0.17777262371701547,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
5,prop,H@10,0.18703689262637874,0.20303934128698742,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
6,subevent,AMR,-0.047077723572169335,0.7506801323194953,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
7,subevent,MRR,0.15199379324728957,0.3024034397009432,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
8,subevent,H@1,0.1486512709488425,0.313284092155899,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
9,subevent,H@3,0.17353387713832127,0.23817473454976446,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
10,subevent,H@5,0.1978016058710624,0.17777262371701547,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
11,subevent,H@10,0.18703689262637874,0.20303934128698742,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
12,role,AMR,-0.047077723572169335,0.7506801323194953,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
13,role,MRR,0.15199379324728957,0.3024034397009432,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
14,role,H@1,0.1486512709488425,0.313284092155899,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
15,role,H@3,0.17353387713832127,0.23817473454976446,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
16,role,H@5,0.1978016058710624,0.17777262371701547,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
17,role,H@10,0.18703689262637874,0.20303934128698742,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
18,causation,AMR,-0.047077723572169335,0.7506801323194953,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
19,causation,MRR,0.15199379324728957,0.3024034397009432,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
20,causation,H@1,0.1486512709488425,0.313284092155899,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
21,causation,H@3,0.17353387713832127,0.23817473454976446,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
22,causation,H@5,0.1978016058710624,0.17777262371701547,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
23,causation,H@10,0.18703689262637874,0.20303934128698742,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
